post_order,category,file_slug,id,slug,status,tt_caption,tt_hashtags,tt_scheduled_date,tt_url,tt_views,notes
16,counter,C80_counter-mint,C80,counter-mint,pending,"Coming from Mint?

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #mint",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #mint,,,,5 slides
17,day-1-31,C91_freelancer-day-1-31,C91,freelancer-day-1-31,pending,"Freelancer. Day 1. New client. New invoice.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #freelance",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #freelance,,,,5 slides
18,listicle,C186_list-budget-breaks-reasons,C186,list-budget-breaks-reasons,pending,"5 reasons your budget breaks on variable income.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5reasons",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5reasons,,,,7 slides
19,landing,C181_landing-breathe,C181,landing-breathe,pending,"From holding your breath with bills.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing,,,,5 slides
20,learn,C116_learn-proper-protection,C116,learn-proper-protection,pending,"Protect your income before you grow it.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #protection",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #protection,,,,5 slides
21,product,PC1_product-first-week,PC1,product-first-week,pending,"Your first week with Able.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,6 slides
22,legacy,C1_apps-fail-freelancers,C1,apps-fail-freelancers,pending,"Why budgeting apps fail freelancers.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
23,brand-script,C241_brandscript-calm-sunday,C241,brandscript-calm-sunday,pending,"You want to stop the Sunday-night dread.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
24,identity,C112_identity-nothing-broke,C112,identity-nothing-broke,pending,"Day 31. Nothing broke.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
25,scenario,C87_scenario-slow-vs-busy,C87,scenario-slow-vs-busy,pending,"Busy month. Then a slow one.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
26,persona,C72_persona-gig-drivers,C72,persona-gig-drivers,pending,"Daily earnings. Daily decisions.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #gig",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #gig,,,,5 slides
27,feature,C76_feature-score,C76,feature-score,pending,"Your Score. Not your credit one.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #score",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #score,,,,5 slides
28,counter,C82_counter-fifty-thirty-twenty,C82,counter-fifty-thirty-twenty,pending,"50 needs. 30 wants. 20 savings.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #503020",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #503020,,,,5 slides
29,day-1-31,C92_creator-day-1-31,C92,creator-day-1-31,pending,"Creator. Day 1. Sponsor wire cleared.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #creator",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #creator,,,,5 slides
30,listicle,C187_list-per-deposit-beats-monthly,C187,list-per-deposit-beats-monthly,pending,"4 reasons per-deposit beats monthly.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #4reasons",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #4reasons,,,,6 slides
31,landing,C183_landing-how-it-works,C183,landing-how-it-works,pending,"How it works: Bills covered first. Then everything else.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing,,,,5 slides
32,learn,C117_learn-emergency-fund,C117,learn-emergency-fund,pending,"The cash that keeps you off the credit card.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #emergencyfund",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #emergencyfund,,,,5 slides
33,product,PC3_product-built-for-variable,PC3,product-built-for-variable,pending,"Built for variable income.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
34,legacy,C2_freelancer-month,C2,freelancer-month,pending,"A freelancer's month.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,8 slides
35,brand-script,C242_brandscript-nothing-leaked,C242,brandscript-nothing-leaked,pending,"You want a Day 31 that doesn't end in shame.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
36,identity,C113_identity-partner-talk,C113,identity-partner-talk,pending,"""How are we doing?"" Used to be a hard question.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
37,scenario,C86_scenario-big-check-cleared,C86,scenario-big-check-cleared,pending,"Client check. Just cleared.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
38,persona,C71_persona-creators,C71,persona-creators,pending,"Creator income. Lumpy. By design.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #creator",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #creator,,,,5 slides
39,feature,C77_feature-bills,C77,feature-bills,pending,"Every bill. Reserved. In order.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #bills",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #bills,,,,5 slides
40,counter,C81_counter-ynab,C81,counter-ynab,pending,"Zero-based. Asks you to assign every dollar.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #ynab",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #ynab,,,,5 slides
41,day-1-31,C93_gig-driver-day-1-31,C93,gig-driver-day-1-31,pending,"Gig driver. Day 1. Shift just ended.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #gig",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #gig,,,,5 slides
42,listicle,C188_list-tax-season-tips,C188,list-tax-season-tips,pending,"5 tips for tax season as a freelancer.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5tips",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5tips,,,,7 slides
43,landing,C182_landing-imagine-this,C182,landing-imagine-this,pending,"Imagine this. A check comes in.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing,,,,5 slides
44,learn,C118_learn-debt-management,C118,learn-debt-management,pending,"Debt is the biggest drag on wealth.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #debt",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #debt,,,,5 slides
45,product,PC2_product-how-it-works,PC2,product-how-it-works,pending,"How Able works.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
46,legacy,C4_where-4000-goes,C4,where-4000-goes,pending,"Where $4,000 actually goes.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,8 slides
47,brand-script,C244_brandscript-i-am-able-to-budget,C244,brandscript-i-am-able-to-budget,pending,"You want to say: ""I'm able to budget.""

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
48,identity,C114_identity-year-one,C114,identity-year-one,pending,"One year in. You're still a freelancer.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
49,scenario,C88_scenario-quarterly-tax-due,C88,scenario-quarterly-tax-due,pending,"Quarterly tax due this month.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
50,persona,C73_persona-commission,C73,persona-commission,pending,"Closing month: $9K. Dry month: $1,400.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #commission",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #commission,,,,5 slides
51,feature,C78_feature-tax,C78,feature-tax,pending,"Off the top. Every deposit. Not April.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #tax",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #tax,,,,5 slides
52,counter,C83_counter-profit-first,C83,counter-profit-first,pending,"Profit First. Same idea. Quarterly clock.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #profitfirst",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #profitfirst,,,,5 slides
53,day-1-31,C94_commission-day-1-31,C94,commission-day-1-31,pending,"Commission rep. Day 1. Deal closed. Commission lands.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #commission",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #commission,,,,5 slides
54,listicle,C189_list-1099-mistakes,C189,list-1099-mistakes,pending,"6 mistakes 1099 earners make.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #6mistakes",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #6mistakes,,,,8 slides
55,landing,C184_landing-cost-of-waiting,C184,landing-cost-of-waiting,pending,"Every month you wait is another $500 to $1,000 gone.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #stakes",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #stakes,,,,5 slides
56,learn,C119_learn-cash-flow,C119,learn-cash-flow,pending,"Income minus expenses equals freedom.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #cashflow",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #cashflow,,,,5 slides
57,product,PC4_product-from-unable-to-able,PC4,product-from-unable-to-able,pending,"From Unable. To Able.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
58,legacy,C3_five-buckets,C3,five-buckets,pending,"Every deposit has five jobs.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
59,brand-script,C243_brandscript-stop-checking,C243,brandscript-stop-checking,pending,"You want to stop refreshing your bank.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
60,identity,C251_identity-can-afford-this,C251,identity-can-afford-this,pending,"""We can afford this."" First time you said it out loud.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
61,scenario,C89_scenario-bonus-arrived,C89,scenario-bonus-arrived,pending,"Bonus hit. Or a refund. Or a gift.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
62,persona,C74_persona-business-owners,C74,persona-business-owners,pending,"Payroll Friday. Your pay? Sometimes.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #business",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #business,,,,5 slides
63,feature,C79_feature-deep-dive,C79,feature-deep-dive,pending,"The month, replayed. Where did it actually go?

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #deepdive",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #deepdive,,,,5 slides
64,counter,C84_counter-spreadsheet,C84,counter-spreadsheet,pending,"Your spreadsheet. Flat lines. For a wave paycheck.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #spreadsheet",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #spreadsheet,,,,5 slides
65,day-1-31,C95_business-owner-day-1-31,C95,business-owner-day-1-31,pending,"Owner. Day 1. Client deposit cleared.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #business",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #business,,,,5 slides
66,listicle,C190_list-automating-floor-benefits,C190,list-automating-floor-benefits,pending,"5 benefits of automating your floor.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5benefits",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5benefits,,,,7 slides
67,landing,C185_landing-become-able,C185,landing-become-able,pending,"From Unable.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #landing,,,,5 slides
68,learn,C120_learn-build-wealth,C120,learn-build-wealth,pending,"Make your money work for you.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #wealth",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #wealth,,,,5 slides
69,product,PC5_product-tax-season,PC5,product-tax-season,pending,"Tax season, simplified.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,6 slides
70,legacy,C6_freezing-to-flowing,C6,freezing-to-flowing,pending,"How freelancers stop freezing.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
71,brand-script,C245_brandscript-year-one-calm,C245,brandscript-year-one-calm,pending,"You want a year that doesn't end in panic.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
72,identity,C115_identity-stopped-checking,C115,identity-stopped-checking,pending,"Tuesday. Realized you hadn't checked your balance.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
73,scenario,C106_scenario-subscription-leak,C106,scenario-subscription-leak,pending,"Pulled your statements. $340 in subscriptions.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
74,persona,C100_persona-designer-developer,C100,persona-designer-developer,pending,"Net-60 invoice. Bills due net-zero.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #design",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #design,,,,5 slides
75,feature,C96_feature-debt-tracker,C96,feature-debt-tracker,pending,"Debt. Tracked.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #debts",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #debts,,,,5 slides
76,day-1-31,C259_designer-day-1-31,C259,designer-day-1-31,pending,"Designer/developer. Day 1. New project kicked off.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #design",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #design,,,,5 slides
77,listicle,C191_list-debt-not-moving-reasons,C191,list-debt-not-moving-reasons,pending,"5 reasons your debt isn't moving.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5reasons",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5reasons,,,,7 slides
78,learn,C121_learn-protect-wealth,C121,learn-protect-wealth,pending,"Building is half. Keeping is the other.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #protect",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #protect,,,,5 slides
79,product,PC6_product-slow-month,PC6,product-slow-month,pending,"When the slow month hits.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
80,legacy,C5_tax-math-1099,C5,tax-math-1099,pending,"If you're 1099, read this.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
81,brand-script,C247_brandscript-reserve-bridge,C247,brandscript-reserve-bridge,pending,"You want to bridge slow months without panic.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
82,identity,C253_identity-slow-week-didnt-break,C253,identity-slow-week-didnt-break,pending,"A slow week. Used to trigger the spiral.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
83,scenario,C90_scenario-zero-balance,C90,scenario-zero-balance,pending,"Checking hit $0. Again.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
84,persona,C101_persona-real-estate,C101,persona-real-estate,pending,"Closed in March. Next deal? June.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #realestate",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #realestate,,,,5 slides
85,feature,C97_feature-log-income,C97,feature-log-income,pending,"Cash. Venmo. PayPal. Anything.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #logincome",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #logincome,,,,5 slides
86,day-1-31,C260_real-estate-day-1-31,C260,real-estate-day-1-31,pending,"Real estate agent. Day 1. Closing commission lands.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #realestate",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #realestate,,,,5 slides
87,listicle,C193_list-automating-beats-discipline,C193,list-automating-beats-discipline,pending,"4 reasons automating beats discipline.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #4reasons",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #4reasons,,,,6 slides
88,learn,C122_learn-paydex-80,C122,learn-paydex-80,pending,"PAYDEX 80+. The threshold lenders want.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #businesscredit",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #businesscredit,,,,5 slides
89,product,PC8_product-why-apps-fail,PC8,product-why-apps-fail,pending,"Why apps fail variable income.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
90,legacy,C8_5-signs-working,C8,5-signs-working,pending,"5 signs your money system is working.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #swipe,,,,7 slides
91,brand-script,C246_brandscript-permission,C246,brandscript-permission,pending,"You want to stop feeling guilty about money.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #brandscript,,,,6 slides
92,identity,C252_identity-holiday-no-borrow,C252,identity-holiday-no-borrow,pending,"December. First holiday without a credit card.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #identity,,,,5 slides
93,scenario,C105_scenario-lost-client,C105,scenario-lost-client,pending,"Your biggest client just churned.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #scenario,,,,5 slides
94,persona,C102_persona-etsy-shopify,C102,persona-etsy-shopify,pending,"November-December. Then a cliff.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #seller",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #seller,,,,5 slides
95,feature,C98_feature-tax-classify,C98,feature-tax-classify,pending,"Business meal? Personal? Tag it.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #taxclassify",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #taxclassify,,,,5 slides
96,day-1-31,C261_etsy-day-1-31,C261,etsy-day-1-31,pending,"Etsy/Shopify seller. Day 1. Holiday spike payouts.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #seller",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #seller,,,,5 slides
97,listicle,C192_list-floor-first-reasons,C192,list-floor-first-reasons,pending,"5 reasons Floor-First works for variable income.

#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5reasons",#variableincome #freelancetok #1099 #freelancer #smallbiz #budgetingtips #fyp #5reasons,,,,7 slides
