post_order,category,file_slug,id,slug,status,yt_title,yt_description,yt_tags,youtube_video_id,youtube_url,yt_published_date,notes
15,feature,C75_feature-coach,C75,feature-coach,pending,When the math feels personal.,"When the math feels personal.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,coach,glass,feature",,,,5 slides
16,counter,C80_counter-mint,C80,counter-mint,pending,Coming from Mint?,"Coming from Mint?

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,mint,page,counter",,,,5 slides
17,day-1-31,C91_freelancer-day-1-31,C91,freelancer-day-1-31,pending,Freelancer. Day 1. New client. New invoice.,"Freelancer. Day 1. New client. New invoice.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,freelance,white",,,,5 slides
18,listicle,C186_list-budget-breaks-reasons,C186,list-budget-breaks-reasons,pending,5 reasons your budget breaks on variable income.,"5 reasons your budget breaks on variable income.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,5 reasons,black,list,budget,breaks,reasons",,,,7 slides
19,landing,C181_landing-breathe,C181,landing-breathe,pending,From holding your breath with bills.,"From holding your breath with bills.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,landing,glass-dark,breathe",,,,5 slides
20,learn,C116_learn-proper-protection,C116,learn-proper-protection,pending,Protect your income before you grow it.,"Protect your income before you grow it.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,protection,black,learn,proper",,,,5 slides
21,product,PC1_product-first-week,PC1,product-first-week,pending,Your first week with Able.,"Your first week with Able.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,page,product,first,week",,,,6 slides
22,legacy,C1_apps-fail-freelancers,C1,apps-fail-freelancers,pending,Why budgeting apps fail freelancers.,"Why budgeting apps fail freelancers.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,white,apps,fail,freelancers",,,,7 slides
23,brand-script,C241_brandscript-calm-sunday,C241,brandscript-calm-sunday,pending,You want to stop the Sunday-night dread.,"You want to stop the Sunday-night dread.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,glass-dark,calm,sunday",,,,6 slides
24,identity,C112_identity-nothing-broke,C112,identity-nothing-broke,pending,Day 31. Nothing broke.,"Day 31. Nothing broke.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,green,nothing,broke",,,,5 slides
25,scenario,C87_scenario-slow-vs-busy,C87,scenario-slow-vs-busy,pending,Busy month. Then a slow one.,"Busy month. Then a slow one.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,glass,slow,busy",,,,5 slides
26,persona,C72_persona-gig-drivers,C72,persona-gig-drivers,pending,Daily earnings. Daily decisions.,"Daily earnings. Daily decisions.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,gig,page,persona,drivers",,,,5 slides
27,feature,C76_feature-score,C76,feature-score,pending,Your Score. Not your credit one.,"Your Score. Not your credit one.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,score,black,feature",,,,5 slides
28,counter,C82_counter-fifty-thirty-twenty,C82,counter-fifty-thirty-twenty,pending,50 needs. 30 wants. 20 savings.,"50 needs. 30 wants. 20 savings.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,50/30/20,green,counter,fifty,thirty,twenty",,,,5 slides
29,day-1-31,C92_creator-day-1-31,C92,creator-day-1-31,pending,Creator. Day 1. Sponsor wire cleared.,"Creator. Day 1. Sponsor wire cleared.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,creator,glass",,,,5 slides
30,listicle,C187_list-per-deposit-beats-monthly,C187,list-per-deposit-beats-monthly,pending,4 reasons per-deposit beats monthly.,"4 reasons per-deposit beats monthly.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,4 reasons,green,list,deposit,beats,monthly",,,,6 slides
31,landing,C183_landing-how-it-works,C183,landing-how-it-works,pending,How it works: Bills covered first. Then everything else.,"How it works: Bills covered first. Then everything else.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,landing,white,works",,,,5 slides
32,learn,C117_learn-emergency-fund,C117,learn-emergency-fund,pending,The cash that keeps you off the credit card.,"The cash that keeps you off the credit card.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,emergency fund,green,learn,emergency,fund",,,,5 slides
33,product,PC3_product-built-for-variable,PC3,product-built-for-variable,pending,Built for variable income.,"Built for variable income.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,glass-dark,product,built,variable",,,,7 slides
34,legacy,C2_freelancer-month,C2,freelancer-month,pending,A freelancer's month.,"A freelancer's month.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,page,month",,,,8 slides
35,brand-script,C242_brandscript-nothing-leaked,C242,brandscript-nothing-leaked,pending,You want a Day 31 that doesn't end in shame.,"You want a Day 31 that doesn't end in shame.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,green,nothing,leaked",,,,6 slides
36,identity,C113_identity-partner-talk,C113,identity-partner-talk,pending,"""How are we doing?"" Used to be a hard question.","""How are we doing?"" Used to be a hard question.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,page,partner,talk",,,,5 slides
37,scenario,C86_scenario-big-check-cleared,C86,scenario-big-check-cleared,pending,Client check. Just cleared.,"Client check. Just cleared.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,green,check,cleared",,,,5 slides
38,persona,C71_persona-creators,C71,persona-creators,pending,Creator income. Lumpy. By design.,"Creator income. Lumpy. By design.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,creator,glass,persona,creators",,,,5 slides
39,feature,C77_feature-bills,C77,feature-bills,pending,Every bill. Reserved. In order.,"Every bill. Reserved. In order.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,bills,white,feature",,,,5 slides
40,counter,C81_counter-ynab,C81,counter-ynab,pending,Zero-based. Asks you to assign every dollar.,"Zero-based. Asks you to assign every dollar.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,ynab,black,counter",,,,5 slides
41,day-1-31,C93_gig-driver-day-1-31,C93,gig-driver-day-1-31,pending,Gig driver. Day 1. Shift just ended.,"Gig driver. Day 1. Shift just ended.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,gig,page,driver",,,,5 slides
42,listicle,C188_list-tax-season-tips,C188,list-tax-season-tips,pending,5 tips for tax season as a freelancer.,"5 tips for tax season as a freelancer.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,5 tips,white,list,season,tips",,,,7 slides
43,landing,C182_landing-imagine-this,C182,landing-imagine-this,pending,Imagine this. A check comes in.,"Imagine this. A check comes in.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,landing,green,imagine,this",,,,5 slides
44,learn,C118_learn-debt-management,C118,learn-debt-management,pending,Debt is the biggest drag on wealth.,"Debt is the biggest drag on wealth.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,debt,glass-dark,learn,management",,,,5 slides
45,product,PC2_product-how-it-works,PC2,product-how-it-works,pending,How Able works.,"How Able works.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,green,product,works",,,,7 slides
46,legacy,C4_where-4000-goes,C4,where-4000-goes,pending,"Where $4,000 actually goes.","Where $4,000 actually goes.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,black,where,4000,goes",,,,8 slides
47,brand-script,C244_brandscript-i-am-able-to-budget,C244,brandscript-i-am-able-to-budget,pending,"You want to say: ""I'm able to budget.""","You want to say: ""I'm able to budget.""

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,page,able,budget",,,,6 slides
48,identity,C114_identity-year-one,C114,identity-year-one,pending,One year in. You're still a freelancer.,"One year in. You're still a freelancer.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,glass,year",,,,5 slides
49,scenario,C88_scenario-quarterly-tax-due,C88,scenario-quarterly-tax-due,pending,Quarterly tax due this month.,"Quarterly tax due this month.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,page,quarterly",,,,5 slides
50,persona,C73_persona-commission,C73,persona-commission,pending,"Closing month: $9K. Dry month: $1,400.","Closing month: $9K. Dry month: $1,400.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,commission,black,persona",,,,5 slides
51,feature,C78_feature-tax,C78,feature-tax,pending,Off the top. Every deposit. Not April.,"Off the top. Every deposit. Not April.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,tax,green,feature",,,,5 slides
52,counter,C83_counter-profit-first,C83,counter-profit-first,pending,Profit First. Same idea. Quarterly clock.,"Profit First. Same idea. Quarterly clock.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,profit first,glass,counter,profit,first",,,,5 slides
53,day-1-31,C94_commission-day-1-31,C94,commission-day-1-31,pending,Commission rep. Day 1. Deal closed. Commission lands.,"Commission rep. Day 1. Deal closed. Commission lands.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,commission,black",,,,5 slides
54,listicle,C189_list-1099-mistakes,C189,list-1099-mistakes,pending,6 mistakes 1099 earners make.,"6 mistakes 1099 earners make.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,6 mistakes,glass-dark,list,mistakes",,,,8 slides
55,landing,C184_landing-cost-of-waiting,C184,landing-cost-of-waiting,pending,"Every month you wait is another $500 to $1,000 gone.","Every month you wait is another $500 to $1,000 gone.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,stakes,black,landing,cost,waiting",,,,5 slides
56,learn,C119_learn-cash-flow,C119,learn-cash-flow,pending,Income minus expenses equals freedom.,"Income minus expenses equals freedom.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,cash flow,white,learn,cash,flow",,,,5 slides
